IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
104.25.251.206,4,4,0.00,122.89,0.00
172.64.153.90,4,4,0.00,123.72,0.00
172.64.146.110,4,4,0.00,124.49,0.00
104.25.250.14,4,4,0.00,125.95,0.00
104.25.246.63,4,4,0.00,128.11,0.00
104.25.249.45,4,4,0.00,128.63,0.00
104.25.248.225,4,4,0.00,128.85,0.00
104.25.247.43,4,4,0.00,129.67,0.00
104.25.253.181,4,4,0.00,130.14,0.00
104.25.242.52,4,4,0.00,131.39,0.00
104.25.241.96,4,4,0.00,131.74,0.00
104.25.244.24,4,4,0.00,132.29,0.00
104.25.245.249,4,4,0.00,132.51,0.00
104.25.240.36,4,4,0.00,132.71,0.00
104.25.243.237,4,4,0.00,132.79,0.00
104.25.252.64,4,4,0.00,134.42,0.00
104.25.254.99,4,4,0.00,142.06,0.00
162.159.130.231,4,4,0.00,188.09,0.00
162.159.153.91,4,4,0.00,196.84,0.00
104.17.29.44,4,4,0.00,198.52,0.00
162.159.140.51,4,4,0.00,198.86,0.00
104.16.47.232,4,4,0.00,202.92,0.00
104.16.8.83,4,4,0.00,204.90,0.00
104.17.239.206,4,4,0.00,205.21,0.00
185.133.35.104,4,4,0.00,205.36,0.00
104.16.10.108,4,4,0.00,205.60,0.00
104.17.20.136,4,4,0.00,205.90,0.00
104.17.16.202,4,4,0.00,206.68,0.00
199.212.90.184,4,4,0.00,207.96,0.00
162.159.134.240,4,4,0.00,208.74,0.00
104.16.38.35,4,4,0.00,209.10,0.00
104.16.98.60,4,4,0.00,209.72,0.00
104.17.127.19,4,4,0.00,210.02,0.00
104.17.25.214,4,4,0.00,210.46,0.00
162.159.60.180,4,4,0.00,210.64,0.00
172.67.7.122,4,4,0.00,210.75,0.00
104.16.59.147,4,4,0.00,210.82,0.00
104.18.184.252,4,4,0.00,211.07,0.00
162.159.129.13,4,4,0.00,211.18,0.00
172.65.185.232,4,4,0.00,211.25,0.00
162.159.137.200,4,4,0.00,211.57,0.00
104.16.96.46,4,4,0.00,211.58,0.00
162.159.42.228,4,4,0.00,211.64,0.00
104.22.29.150,4,4,0.00,211.73,0.00
104.16.5.158,4,4,0.00,211.73,0.00
104.16.7.155,4,4,0.00,211.77,0.00
104.16.42.23,4,4,0.00,211.94,0.00
162.159.128.119,4,4,0.00,212.35,0.00
172.65.180.186,4,4,0.00,212.52,0.00
172.67.8.248,4,4,0.00,212.55,0.00
104.16.3.187,4,4,0.00,212.71,0.00
162.159.135.213,4,4,0.00,212.74,0.00
104.16.11.239,4,4,0.00,212.80,0.00
172.67.0.240,4,4,0.00,212.81,0.00
172.65.190.175,4,4,0.00,212.94,0.00
198.41.212.105,4,4,0.00,212.97,0.00
104.17.152.216,4,4,0.00,213.11,0.00
104.18.188.252,4,4,0.00,213.13,0.00
104.19.168.234,4,4,0.00,213.34,0.00
172.67.6.81,4,4,0.00,213.71,0.00
154.83.22.47,4,4,0.00,213.95,0.00
104.16.242.54,4,4,0.00,214.31,0.00
172.67.5.101,4,4,0.00,214.68,0.00
172.67.2.30,4,4,0.00,214.97,0.00
172.65.210.146,4,4,0.00,215.01,0.00
172.67.1.212,4,4,0.00,215.01,0.00
104.19.251.27,4,4,0.00,215.21,0.00
104.16.101.199,4,4,0.00,215.22,0.00
172.65.183.190,4,4,0.00,215.35,0.00
104.22.1.50,4,4,0.00,215.43,0.00
104.16.100.13,4,4,0.00,215.57,0.00
172.67.12.17,4,4,0.00,215.73,0.00
104.18.11.64,4,4,0.00,215.96,0.00
